trip_id,route_id,service_id,trip_headsign,block_id
64_TMS497,3,1,Loop,115
83_TMS313,4,1,Loop,121
227_TMS58,10,1,Loop,120
408_TMS714,21,1,Loop,111
475_TMS198,5,2,Loop,612
312_TMS639,13,1,Loop,103
551_TMS443,11,2,Loop,611
159_TMS346,7,1,Loop,115
103_TMS6,5,1,Loop,107
458_TMS180,3,2,Loop,607
225_TMS56,10,1,Loop,120
198_TMS398,9,1,Loop,103
66_TMS499,3,1,Loop,115
127_TMS27,6,1,Loop,103
117_TMS19,5,1,Loop,115
571_TMS229,12,2,Loop,613
513_TMS588,8,2,Loop,605
597_TMS247,13,2,Loop,605
486_TMS209,6,2,Loop,607
530_TMS605,9,2,Loop,613
658_TMS328,4,3,Loop,704
25_TMS555,1,1,Loop,109
389_TMS163,17,1,Loop,122
734_TMS747,21,3,Loop,712
580_TMS629,12,2,Loop,603
640_TMS569,1,3,Loop,705
716_TMS661,13,3,Loop,712
434_TMS562,1,2,Loop,612
673_TMS338,6,3,Loop,714
457_TMS179,3,2,Loop,607
325_TMS652,13,1,Loop,102
47_TMS284,2,1,Loop,108
634_TMS743,21,2,Loop,612
487_TMS210,6,2,Loop,607
199_TMS399,9,1,Loop,101
361_TMS666,16,1,Loop,116
329_TMS656,13,1,Loop,103
142_TMS42,6,1,Loop,111
2_TMS532,1,1,Loop,109
560_TMS452,11,2,Loop,611
451_TMS304,2,2,Loop,613
350_TMS152,14,1,Loop,118
264_TMS94,11,1,Loop,117
417_TMS723,21,1,Loop,109
430_TMS558,1,2,Loop,606
667_TMS332,6,3,Loop,710
298_TMS128,12,1,Loop,105
46_TMS283,2,1,Loop,106
461_TMS183,3,2,Loop,607
510_TMS585,8,2,Loop,603
309_TMS636,13,1,Loop,103
402_TMS708,21,1,Loop,112
18_TMS548,1,1,Loop,111
696_TMS425,10,3,Loop,701
525_TMS600,9,2,Loop,601
661_TMS573,5,3,Loop,713
205_TMS405,9,1,Loop,101
188_TMS379,8,1,Loop,107
543_TMS434,10,2,Loop,611
300_TMS130,12,1,Loop,101
428_TMS734,21,1,Loop,111
328_TMS655,13,1,Loop,104
369_TMS674,16,1,Loop,113
464_TMS187,4,2,Loop,603
707_TMS461,12,3,Loop,708
416_TMS722,21,1,Loop,112
526_TMS601,9,2,Loop,604
460_TMS182,3,2,Loop,607
438_TMS566,1,2,Loop,602
691_TMS619,9,3,Loop,712
470_TMS193,5,2,Loop,602
613_TMS700,16,2,Loop,613
58_TMS491,3,1,Loop,114
123_TMS24,5,1,Loop,115
231_TMS62,10,1,Loop,120
209_TMS409,9,1,Loop,103
575_TMS230,12,2,Loop,601
499_TMS221,7,2,Loop,610
12_TMS542,1,1,Loop,112
677_TMS356,7,3,Loop,711
479_TMS201,5,2,Loop,602
593_TMS249,13,2,Loop,605
356_TMS158,14,1,Loop,118
162_TMS349,7,1,Loop,114
79_TMS512,3,1,Loop,116
224_TMS55,10,1,Loop,120
693_TMS422,10,3,Loop,701
229_TMS60,10,1,Loop,120
217_TMS417,9,1,Loop,104
93_TMS323,4,1,Loop,121
364_TMS669,16,1,Loop,116
521_TMS596,9,2,Loop,613
678_TMS386,8,3,Loop,711
78_TMS511,3,1,Loop,116
474_TMS197,5,2,Loop,606
362_TMS667,16,1,Loop,115
222_TMS53,10,1,Loop,120
73_TMS506,3,1,Loop,116
266_TMS96,11,1,Loop,119
498_TMS224,7,2,Loop,603
202_TMS402,9,1,Loop,101
175_TMS366,8,1,Loop,108
357_TMS159,14,1,Loop,119
476_TMS199,5,2,Loop,602
287_TMS117,12,1,Loop,113
248_TMS79,10,1,Loop,120
509_TMS584,8,2,Loop,605
524_TMS599,9,2,Loop,613
405_TMS711,21,1,Loop,111
514_TMS589,9,2,Loop,607
628_TMS737,21,2,Loop,612
557_TMS449,11,2,Loop,611
241_TMS72,10,1,Loop,120
138_TMS38,6,1,Loop,102
725_TMS480,16,3,Loop,710
246_TMS77,10,1,Loop,120
709_TMS463,12,3,Loop,710
488_TMS211,6,2,Loop,607
150_TMS50,6,1,Loop,110
421_TMS727,21,1,Loop,110
334_TMS136,14,1,Loop,119
82_TMS515,3,1,Loop,116
393_TMS167,17,1,Loop,122
604_TMS474,14,2,Loop,609
612_TMS699,16,2,Loop,601
502_TMS384,8,2,Loop,610
432_TMS560,1,2,Loop,602
397_TMS171,17,1,Loop,122
544_TMS435,10,2,Loop,611
411_TMS717,21,1,Loop,111
77_TMS510,3,1,Loop,116
308_TMS635,13,1,Loop,102
323_TMS650,13,1,Loop,102
9_TMS539,1,1,Loop,110
61_TMS494,3,1,Loop,115
515_TMS590,9,2,Loop,603
702_TMS456,11,3,Loop,701
655_TMS521,3,3,Loop,707
304_TMS134,12,1,Loop,105
52_TMS289,2,1,Loop,108
491_TMS214,6,2,Loop,607
449_TMS302,2,2,Loop,612
722_TMS477,16,3,Loop,704
529_TMS604,9,2,Loop,604
338_TMS140,14,1,Loop,118
723_TMS478,16,3,Loop,708
444_TMS297,2,2,Loop,602
335_TMS137,14,1,Loop,118
406_TMS712,21,1,Loop,109
683_TMS391,8,3,Loop,716
331_TMS658,13,1,Loop,104
112_TMS14,5,1,Loop,101
563_TMS225,12,2,Loop,601
541_TMS432,10,2,Loop,611
390_TMS164,17,1,Loop,122
682_TMS390,8,3,Loop,710
729_TMS484,17,3,Loop,702
294_TMS124,12,1,Loop,101
379_TMS684,16,1,Loop,113
718_TMS663,13,3,Loop,705
670_TMS335,6,3,Loop,715
297_TMS127,12,1,Loop,101
11_TMS541,1,1,Loop,109
401_TMS707,21,1,Loop,110
453_TMS186,3,2,Loop,607
8_TMS538,1,1,Loop,109
573_TMS236,12,2,Loop,604
326_TMS653,13,1,Loop,104
481_TMS203,5,2,Loop,612
228_TMS59,10,1,Loop,120
145_TMS45,6,1,Loop,112
395_TMS169,17,1,Loop,122
345_TMS147,14,1,Loop,117
726_TMS481,16,3,Loop,709
327_TMS654,13,1,Loop,102
250_TMS80,11,1,Loop,118
621_TMS251,17,2,Loop,614
480_TMS202,5,2,Loop,606
562_TMS620,12,2,Loop,605
221_TMS52,10,1,Loop,120
688_TMS616,9,3,Loop,707
553_TMS445,11,2,Loop,611
226_TMS57,10,1,Loop,120
349_TMS151,14,1,Loop,117
620_TMS250,17,2,Loop,614
187_TMS378,8,1,Loop,107
153_TMS340,7,1,Loop,111
676_TMS355,7,3,Loop,704
165_TMS352,7,1,Loop,101
91_TMS321,4,1,Loop,121
259_TMS89,11,1,Loop,118
527_TMS602,9,2,Loop,613
703_TMS457,11,3,Loop,701
407_TMS713,21,1,Loop,110
17_TMS547,1,1,Loop,110
275_TMS105,11,1,Loop,119
435_TMS563,1,2,Loop,602
646_TMS308,2,3,Loop,710
232_TMS63,10,1,Loop,120
534_TMS609,9,2,Loop,601
420_TMS726,21,1,Loop,109
173_TMS364,8,1,Loop,108
135_TMS35,6,1,Loop,104
